Id;Nome;Curso;Password;Média;UC;Estatuto
A200000;João Mendes;LEI;senha01;10.0;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200001;Ana Soares;LEI;senha02;12.1;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200002;Pedro Silva;LEI;senha03;11.5;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;TE
A200003;Carla Costa;LEI;senha04;15.6;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200004;Tiago Martins;LEI;senha05;18.7;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200005;Mariana Lopes;LEI;senha06;19.0;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;AUM
A200006;Rui Fernandes;LEI;senha07;14.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200007;Beatriz Figueiredo;LEI;senha08;12.1;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200008;Carlos Alves;LEI;senha09;12.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200009;Sara Marques;LEI;senha10;17.3;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200010;Paulo Ribeiro;LEI;senha11;11.1;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;TE
A200011;Clara Oliveira;LEI;senha12;15.7;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200012;Luis Gomes;LEI;senha13;14.9;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200013;Joana Santos;LEI;senha14;16.7;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200014;Bruno Ferreira;LEI;senha15;9.5;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;AUM
A200015;Inês Araújo;LEI;senha16;12.0;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200016;Victor Lima;LEI;senha17;14.6;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200017;Raquel Nunes;LEI;senha18;12.8;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200018;John Smith;LEI;senha19;13.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;TE
A200019;Emily Johnson;LEI;senha20;14.6;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200020;James Miller;LEI;senha21;10.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;TE
A200021;Daniel Costa;LEI;senha22;14.5;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200022;Michael Brown;LEI;senha23;13.6;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;TE
A200023;Hugo Fernandes;LEI;senha24;12.1;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200024;Alexandre Gomes;LEI;senha25;15.3;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200025;Richard Taylor;LEI;senha26;13.3;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;TE
A200026;Sara Cardoso;LEI;senha27;15.8;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200027;João Ferreira;LEI;senha28;12.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
